author_name,instances_of_study,birth_year,gender,ethnicity_national_origin_group,race,birth_nation,native_foreign,immigrant_generation,immigration_year,nations,states,cities,education_level,degree,mfa,degree_institution,university_teacher,teaching_institution,author_awards
"Suleri, Sara",1,1953,F,Pakistani-Welsh,Multiracial Asian-White,Pakistan,Foreign,1,,"Pakistan, United States","MA, CT","London, Lahore",Graduate,PhD ,N,Indiana University,Y,National Training School for Music,
"Sullivan, Arthur",1,1842,M,Irish-Italian,White,England,N/A,N/A,N/A,England,N/A,London,,,N,,Y,University of Hawai'i,
"Sullivan, Robert",1,1967,M,Irish-Māori,Multiracial Pacific Islander-White,New Zealand,N/A,N/A,N/A,New Zealand,,Auckland,Graduate,Master's,N,University of Auckland,Y,N/A,
"Suyin, Han",1,1916,F,Chinese-Flemish,Multiracial Asian-White,China,N/A,N/A,N/A,"China, Brussels, Hong Kong (British territory), India, Switzerland",,"Chengdu, London, Lausanne",Undergraduate,Bachelor's,N,Royal Free Hospital,N,,
"Swain, Rachael",1,,,,,,,,,,,,,,,,,N/A,
"Syal, Meera",1,1961,F,Indian,Asian,England,N/A,N/A,N/A,England,,,Undergraduate,Bachelor's,N,Manchester University,N,New York University Abu Dhabi,
"Syjuco, Miguel",1,1976,M,Filipino,Asian,Philippines,Foreign,,,"Canada, United States",NY,"New York City, Montreal",Graduate,PhD,Y,University of Adelaide,Y,Institute of American Indian Arts,"Peabody Award, International Documentary Association Distinguished Achievement Award, Guggenheim Fellowship, and more"
"Sze, Arthur",1,1950,M,Chinese,Asian,United States,Native,2,N/A,,,,Undergraduate,Bachelor's,N,University of California Berkeley,Y,,"National Book Award, Jackson Poetry Prize, Lannan Award"
"Tagatac, Samuel",1,,M,Filipinx,Asian,Philippines,Foreign,1,,,,,,,,,,"University of California Los Angeles, University of California Santa Cruz",
"Tajima-Peña, Renee",4,1958,F,Japanese,Asian,United States,Native,,N/A,United States,CA,,Undergraduate,Bachelor's,N,Harvard University,Y,Temple University,
"Tajiri, Rea",1,1958,F,Japanese,Asian,United States,Native,,N/A,United States,"IL, CA, PA",Chicago,Graduate,Master's,Y,California Institute of the Arts,Y,,"Caldecott Honour, Eisner Award, Printz Award, and more"
"Takashima, Shizuye",1,1930,F,Japanese,Asian,Canada,N/A,N/A,N/A,Canada,,,,,,,,California College of the Arts,"Ignatz Award, Joe Shuster Award, Honour of Distinction Dayne Ogilvie Prize"
"Takemoto, TT",1,,NB,Japanese,Asian,United States,Native,4,N/A,United States,CA,,Graduate,PhD,Y,University of Rochester,Y,"Parsons School of Design, School of Visual Arts",
"Tamaki, Jillian",1,,F,Egyptian-Japanese,Multiracial Asian-MENA,Canada,Foreign,4,N/A,"Canada, United States",NY,"Calgary, Toronto, New York City",Undergraduate,Bachelor's,N,Alberta College of Art and Design,Y,,
"Tamaki, Mariko",2,1975,F,Japanese-Jewish,Multiracial Asian-Jewish,Canada,Foreign,1,2012,"Canada, United States",CA,Oakland,Graduate,Master's,N,York University,,N/A,Winner Emerging Writer's Contest Ploughshares
"Tan, Amy",24,1952,F,Chinese,Asian,United States,Native,2,N/A,"United States, Switzerland",CA,San Jose,Graduate,Master's,N,San Jose State University,N,N/A,
"Tan, Cheryl Lu-Lien",1,,F,Chinese (from Singapore),Asian,Singapore,Foreign,1,,"Singapore, United States",NY,New York City,Undergraduate ,Bachelor's,N,Northwestern University,N,,
"Tan, Lucy",1,,F,Chinese,Asian,United States,Native,2,N/A,"United States, China","NJ, WA","New York City, Shanghai, Seattle",Graduate,Master's,Y,University of Wisconsin Madison,,N/A,
"Tan, Shaun",4,1974,M,Chinese,Asian,Australia,N/A,N/A,N/A,Australia,,,Undergraduate,Bachelor's,N,University of Western Australia,N,California Institute of the Arts,
"Tanaka, Janice",1,1940,F,Japanese,Asian,United States,Native,,N/A,United States,"CA, IL",Chicago,Graduate,Master's,Y,Art Institute of Chicago,Y,,
"Tasaki, Hanama",1,1913,M,Japanese,Asian,United States,Native,2,N/A,"United States, Japan","Hi, CA",,,,,,,,"Eisner Award, Order of the Sacred Treasure, Japan Cartoonists Association Award, and more"
"Tateishi, John",1,1939,M,Japanese,Asian,United States,Native,,N/A,United States,CA,,,,,,,Victoria University,
"Teaiwa, Teresia",1,1968,F,African American-I-Kiribati,Multiracial Black-Pacific Islander,United States,Native,,N/A,"United States, Fiji, New Zealand",HI,,Graduate,PhD,N,University of California Santa Cruz,Y,,
"Tejani, Bahadur",1,1942,M,Indian,Asian,Kenya (British colony),N/A,N/A,N/A,,,,Graduate,PhD,N,University of Nairobi,,,
"Teragawachi, Usaku",1,,M,Japanese,Asian,Japan,Foreign,1,,,,,,,,,,N/A,Scotiabank Giller Prize
"Tezuka, Osamu",1,1928,M,Japanese,Asian,Japan,N/A,N/A,N/A,Japan,,,Graduate,MD/PhD,N,Nara Medical University,N,N/A,
"Tham, Hilary",1,1946,F,Chinese (from Malaysia),Asian,Malaysia (British colony),Foreign,1,1971,"Malaysia, United States","NJ, VA",,Undergraduate,Bachelor's,N,University of Malaya,N,University of the South Pacific,"Scotiabank Giller Prize, Governor-General's Award for Fiction, Edward Stanford Prize, and more"
"Thaman, Konai Helu",2,,F,Tongan,Pacific Islander,Tonga,Foreign,,,"Tonga, New Zealand, United States, Fiji",CA,,Graduate,PhD,N,University of the South Pacific,Y,University of Toronto,
"Thammavongsa, Souvankham",1,,F,Lao,Asian,Thailand,N/A,N/A,N/A,Canada,N/A,Toronto,Undergraduate ,Bachelor's,N,University of Toronto,Y,,
"Thao Worra, Bryan",1,,M,Lao,Asian,,,,,,,,Undergraduate,Bachelor's,,,,"City University of Hong Kong, Brooklyn College",
"Thien, Madeleine",1,1974,F,Chinese (from Malaysia and Hong Kong),Asian,Canada,,,,"Canada, Netherlands, Germany",N/A,"Vancouver, Montreal, Berlin",Graduate,Master's,Y,University of British Columbia,Y,N/A,
"Toklas, Alice B.",1,1877,F,Jewish (from Poland),Jewish,United States,Native,2,N/A,"United States, France","CA, WA","San Francisco, Seattle, Paris",Undergraduate,Bachelor's,N,University of Washington,N,,
"Tolle, Tammy Chu",1,,F,Korean,Asian,South Korea,Foreign,,,"South Korea, United States",,,Undergraduate,Bachelor's,N,Ithaca College,,,"Academy Award, Golden Globe Award, BAFTA Award, and more"
"Tomine, Adrian",3,,,,,,,,,,,,,,,,,"City University of Hong Kong, University of Hong Kong",Pushcart Prize
"Tong, Nancy",1,,F,,,,,,,"Hong Kong (British territory), Canada, United States",NY,"New York City, Hong Kong",Undergraduate,Bachelor's,N,York University,Y,Hawaii Pacific University,
"Tonouchi, Lee A.",1,1972,M,Japanese,Asian,United States,Native,,N/A,United States,HI,,Graduate,Master's,N,University of Hawai'i Manoa,Y,N/A,"Whiting Writers' Award, National Endowment for the Arts Fellowship, MadDowell Fellowship, and more"
"Toro, Guillermo del",1,1964,M,Mexican,Latinx,Mexico,Foreign,1,,"Mexico, United States, Canada",CA,"Los Angeles, Toronto",Undergraduate,Bachelor's,N,University of Guadalajara,N,,"Cannes Film Festival Golden Camera Award, British Film Institute Sutherlan Trophy"
"Tran, Anh Hung",1,,,,,,,,,,,,,,,,,N/A,
"Tran, Barbara",1,1968,F,Vietnamese,Asian,United States,Native,,N/A,"United States, Canada",NY,New York City,Graduate,Master's,Y,Columbia University,N,,
"Tran, De",1,,,Vietnamese,Asian,,Foreign,1.5,,,,,,,,,,University of Chicago,Guggenheim Fellowship
"Tran, Vu",1,1975,M,Vietnamese,Asian,South Vietnam,Foreign,1.5,,"South Vietnam, United States",OK,,Graduate,PhD,Y,University of Nevada Las Vegas,Y,N/A,Whiting Award
"Trenka, Jane Jeong",1,,F,Korean,Asian,South Korea,Foreign,1.5,1972,"South Korea, United States",MN,,Graduate,Master's,N,Seoul National University,N,,Guggenheim Fellowship
"trivedi-pathak, madhvi",1,,NB,,,,,,,,,,,,,,,N/A,
"Truong, Monique",9,1968,F,Vietnamese,Asian,South Vietnam,Foreign,1.5,1975,"South Vietnam, United States","NC, OH, TX, NY, CT","New Haven, New York City",Graduate,JD,N,Columbia University,N,N/A,
"Tsiang, H. T.",7,1899,M,Chinese,Asian,China,Foreign,1,1926,"China, United States","CA, NY",New York City,Some Undergraduate,,N,,N,"University of Minnesota, University of Wisconsin Madison",
"Tuan, Yi-Fu",1,1930,M,Chinese,Asian,China,Foreign,1,,"China, Australia, Philippines, England, United States, Canada","NM, WI","Oxford, Toronto",Graduate,PhD,N,University of California Berkeley,Y,,
"Tuntha-Obas, Padcha",1,,F,Thai,Asian,Thailand,Foreign,1,,"Thailand, United States",CA,Bangkok,Graduate,Master's,Y,Mills College,,N/A,
"Ty-Casper, Linda",1,1931,F,Filipinx,Asian,Philippines (United States territory),Foreign,1,,"Philippines, United States",MA,,Graduate,Master's,N,Harvard University,N,,"Bavarian Film Award, European Film Award, Adolf Grimme Award, and more"
"Tykwer, Tom",1,1965,M,,,Germany,,,,Germany,,Berlin,,,,,,N/A,
"Tyler, Anne",1,1941,F,Euro American,White,United States,Native,,N/A,,,,Undergraduate,Bachelor's,N,Duke University,N,N/A,
"Uchida, Yoshiko",3,1921,F,Japanese,Asian,United States,Native,2,N/A,"United States, Japan","CA, NY","Berkeley, New York City",Graduate,Master's,N,Smith College,N,N/A,
"Ung, Loung",3,1970,F,Cambodian,Asian,Cambodia,Foreign,1.5,1980,"Cambodia, United States","ME, OH, VT",,Undergraduate,Bachelor's,N,Saint Michael's College,N,N/A,
"Uyehara, Denise",1,1966,F,Japanese,Asian,United States,Native,,N/A,United States,CA,,Graduate,Master's,Y,University of California Los Angeles,N,N/A,
"Uyematsu, Amy",1,1947,F,Japanese,Asian,United States,Native,3,N/A,United States,CA,,Undergraduate,Bachelor's,N,University of California Los Angeles,N,California State University,
"Valdez, Luis",1,1976,M,Mexican,Latinx,United States,Native,,N/A,United States,CA,,Undergraduate,Bachelor's,N,San Jose State University,Y,N/A,Academy Award
"Vassanji, M. G.",1,1950,M,Indian,Asian,Kenya (British colony),N/A,N/A,N/A,"Kenya (British colony), Tanzania, Canada",,,Graduate,PhD,N,University of Pennsylvania,N,,
"Vazirani, Reetika",1,1962,F,Indian,Asian,India,Foreign,1.5,1968,"India, United States","MD, VA, NJ",,Graduate,Master's,Y,University of Virginia,Y,,Guggenheim Fellowship
"Verghese, Abraham",2,1955,M,Indian,Asian,Ethiopia,Foreign,1,1980,"Ethiopia, United States","TN, TX, CA",,Graduate,MD,Y,Madras University,Y,N/A,Guggenheim Fellowship
"Vidor, King",1,1894,M,Euro American,White,United States,Native,,N/A,United States,"TX, CA",,Some High School,None,N,Peacock Military Academy,N,,
"Vijayaraghavan, Vineeta",1,,,,,,,,,,,,,,,,,N/A,"Lifetime Achievement Award Native Writers Circle of the Americas, Distinguished Achievement Award Western Literature Association, MELUS Lifetime Achievement Award, and more"
"Villa, José Garcia",3,1908,M,Filipinx,Asian,Philippines (United States territory),Foreign,1,,"Philippines (United States territory), United States","NM, NY",,Some Graduate,Bachelor's,N,Columbia University,N,N/A,
"Villasin, Nadine",1,1974,F,Euro Canadian-Filipinx,Multiracial Asian-White,Philippines,N/A,N/A,N/A,Canada,,,,,,,N,"University of California Berkeley, University of New Mexico","Whiting Award, MacArthur Fellowship, Academy of American Poets Prize, and more"
"Vizenor, Gerald",1,1934,M,Anishinaabe,Native American,United States,Native,N/A,N/A,,,,Undergraduate,Bachelor's,N,University of Minnesota,Y,,
Võ Phiến,2,1925,M,Vietnamese,Asian,Vietnam,Foreign,1,,"Vietnam, United States",CA,Los Angeles,,,,,,,
"Vu, Chi",1,,F,Vietnamese,Asian,Vietnam,N/A,N/A,N/A,Australia,,,,,,,,University of Massachusetts Amherst,Palm Springs International Film Festival Director to Watch
"Vuong, Ocean",1,1988,M,Vietnamese,Asian,South Vietnam,Foreign,1.5,,"South Vietnam, United States",CT,Hartford,Graduate,Master's,Y,New York University,Y,,"Whiting Award, MacArthur Fellowship, Academy of American Poets Prize, and more"
"Wachowski, Lana",1,1965,,Polish,White,United States,Native,,N/A,United States,IL,Chicago,Some Undergraduate,High School Diploma,N,Whitney M. Young High School,,N/A,
"Wachowski, Lilly",1,1967,,Polish,White,United States,Native,,N/A,United States,IL,Chicago,Some Undergraduate,High School Diploma,N,Whitney M. Young High School,N,N/A,"Whiting Award, National Book Foundation 5 Under 35"
"Wales, Nym",1,1907,F,Euro American,White,United States,Native,,N/A,"United States, China",UT,,High School,High School Diploma,N,,N,North Carolina State University,"Guggenheim Fellowship, North Carolina Award for Literature"
"Walser, Richard",1,1908,M,Moravian,White,United States,Native,,N/A,United States,NC,,Graduate,Master's,,University of North Carolina Chapel Hill,Y,N/A,
"Wang, Annie",1,1972,F,Chinese,Asian,China,Foreign,1,1993,"China, United States",CA,,Undergraduate,Bachelor's,N,University of California Berkeley,N,N/A,
"Wang, Lulu",1,1983,F,Chinese,Asian,China,Foreign,1.5,,"China, United States",FL,Miami,Undergraduate,Bachelor's,N,Boston College,N,N/A,
"Wang, Wayne",7,1949,M,Chinese (from Hong Kong),Asian,Hong Kong (British territory),Foreign,1,1966,"Hong Kong (British territory), United States",CA,,Undergraduate,Bachelor's,N,California College of the Arts,N,"University of Pennsylvania, Columbia University",O Henry Award
"Wang, Weike",1,,F,Chinese,Asian,China,Foreign,,,"United States, Australia, Canada",NY,New York City,Graduate,PhD,Y,Harvard University,Y,N/A,Whiting Award
"Ward, Vincent",1,1956,M,,,New Zealand,N/A,N/A,N/A,,,,Undergraduate,Bachelor's,N,University of Canterbury,N,Seneca College,Academy Award
"Watada, Terry",1,1951,M,Japanese,Asian,Canada,N/A,N/A,N/A,Canada,,,Graduate,Master's,N,York University,Y,,
"Watanabe, José",3,1946,M,Japanese-Peruvian,Multiracial Asian-Latinx,Peru,N/A,N/A,N/A,Peru,,,,,,,,Oberlin College,
"Watanabe, Sylvia",1,1953,F,Japanese,Asian,United States,Native,3,N/A,United States,"Hi, OH",,Graduate,Master's,N,State University of New York Binghamton,Y,,MacArthur Fellowship
"Watkins, Yoko Kawashima",1,,F,Japanese,Asian,,Foreign,,,,,,,,,,,N/A,
"Wei, Te-sheng",1,1969,M,,,Taiwan,N/A,N/A,N/A,Taiwan,,,,,,,,,"Taipei Film Festival Award, "
"Wellman, William A.",1,1896,M,Irish,White,United States,Native,2,N/A,United States,"MA, CA",,Some High School,None,N,N/A,N,,Pulitzer Prize
"White, Becky",1,,F,,,,,,,United States,CA,,,,,,,N/A,"Guggenheim Fellowship, National Humanities Medal"
"Whitman, Walt",2,1819,M,Dutch-English-Welsh,White,United States,Native,,N/A,United States,"NY, DC, NJ","New York City, Washington D.C., Camden",No High School,None,N,N/A,N,Brown University,
"Wideman, John",1,1941,M,African American,Black,United States,Native,,N/A,,,,Graduate,Master's,Y,University of Iowa,Y,N/A,"Golden Globe Award, Emmy Award"
"Wilder, Laura Ingalls",2,1867,F,Euro American,White,United States,Native,,N/A,United States,"WI, KS, IA, SD, MO",,No High School,,N,N/A,N,University of Chicago,
"Wilder, Thornton",1,1897,M,Euro American,White,United States,Native,,N/A,"United States, China","WI, CA",,Graduate,Master's,N,Princeton University ,Y,N/A,
"Wilson, August",1,1945,M,African American,Black,United States,Native,,N/A,,,,Some High School,None,N,N/A,N,University of Iowa,
"Wolf, Margery",1,1933,F,Euro American,White,United States,Native,,N/A,,,,Undergraduate,Associate's,N,Santa Rosa Junior College,Y,N/A,"George Polk Award, National Newspaper Award, New England Press Association Newswoman of the Year Award, and more"
"Wong, Ali",1,1982,F,Chinese-Vietnamese,Asian,United States,Native,2,N/A,United States,"CA, NY","San Francisco, New York City",Undergraduate,Bachelor's,N,University of California Los Angeles,N,N/A,
"Wong, Anna May",2,1905,F,Chinese,Asian,United States,Native,3,N/A,"United States, Germany, France, England",CA,,Some High School,None,N,N/A,N,University of Southern California,Asian Canadian Writers Workshop Emerging Writers Award
"Wong, Elizabeth",2,1958,F,Chinese,Asian,United States,Native,,N/A,United States,"CA, CT, NY","Los Angeles, New Haven, New York City",Graduate,MFA,Y,New York University,Y,N/A,National Endowment for the Arts Fellowship
"Wong, Jade Snow",22,1922,F,Chinese,Asian,United States,Native,2,N/A,United States,CA,San Francisco,Undergraduate,Bachelor's,N,Mills College,N,"Ryerson University, St. Thomas University",
"Wong, Jan",1,,F,Chinese,Asian,Canada,N/A,N/A,N/A,"Canada, China",,"Montreal, Beijing, Toronto",Graduate,Master's,N,Columbia University,Y,,
"Wong, Norman",1,,,,,,,,,,,,,,,,,Emily Carr University of Art and Design,National Endowment for the Arts Fellowship
"Wong, Rita",2,1968,F,Chinese,Asian,Canada,N/A,2,N/A,"Canada, China, Japan",N/A,Vancouver,Graduate,PhD,N,Simon Fraser University,Y,University of Washington,
"Wong, Shawn",17,1949,M,Chinese,Asian,United States,Native,,N/A,United States,"CA, WA",,Graduate,Master's,N,San Francisco State University,Y,N/A,
"Woo, John",1,1946,M,Chinese,Asian,China,N/A,N/A,N/A,Hong Kong ,,,,,,,N,"University of California Berkeley, San Francisco State University, San Jose State University",
"Woo, Merle",1,1941,F,Chinese-Korean,Asian,United States,Native,2,N/A,United States,CA,San Francisco,Graduate,Master's,N,San Francisco State University,Y,N/A,
"Worra, Bryan Thao",1,1973,M,Lao,Asian,Laos,Foreign,1.5,1973,United States,"MT, AK, MI, MN, CA",,Undergraduate,Bachelor's,N,Otterbein University,N,,
"Worthington, William",1,1872,M,Euro American,White,United States,Native,,N/A,,,,,,,,,N/A,
"Wu, Alice",2,1970,F,Chinese (from Taiwan),Asian,United States,Native,2,N/A,United States,"CA, NY",New York City,Graduate,Master's,N,Stanford University,N,N/A,
"Wu, Tingfang",1,1842,M,Chinese,Asian,Straits Territory (British colony) (present-day Singapore),N/A,N/A,N/A,"Straits Territory (British colony) (present-day Singapore), China, England",,,Graduate,JD,N,University College London,N,University of Pittsburgh,National Endowment for the Humanities Fellowship
"Wuwu, Aku",1,1964,M,Yi (from China),Asian,China,N/A,N/A,N/A,China,,,,,,,Y,Southwest Nationalities University,"National Book Foundation Medal for Distinguished Contribution to American Letters, United States Artists Fellowship"
"Xiguo, Zhang",1,1944,M,Chinese,Asian,China,Foreign,1,1966,Taiwan,,,Graduate,PhD,N,University of California Berkeley,Y,N/A,
"Xin, Bing",1,1900,F,Chinese,Asian,China,Foreign,N/A,N/A,"China, United States",,Beijing,Graduate,Master's,N,Wellesley College,N,Cypress College,
"Xun, Lu",1,1881,M,Chinese,Asian,China,N/A,N/A,N/A,"China, Japan",,"Beijing, Shanghai",Some Graduate,,N,,Y,"National Beijing University, Xiamen University, University of Canton",
"Yamada, Mitsuye",2,1923,F,Japanese,Asian,Japan,Foreign,2,1926,"Japan, United States","WA, NY, IL, CA","New York City, Chicago",Graduate,Master's,N,University of Chicago,Y,N/A,MacArthur Fellowship
"Yamamoto, Hisaye",11,1921,F,Japanese,Asian,United States,Native,2,N/A,United States,"CA, AZ",Los Angeles,Undergraduate,Associate's,N,Compton Junior College,N,N/A,
"Yamanaka, Lois-Ann",21,1961,F,Japanese,Asian,United States,Native,3,N/A,United States,HI,Honolulu,Graduate,Master's,N,University of Hawai'i Manoa,N,University of California Santa Cruz,Lannan Award
"Yamashiro, Masao",1,1916,M,Japanese,Asian,United States,Native,2,N/A,"United States, Japan","HI, CA",Los Angeles,Some Undergraduate,High School Diploma,N,Los Angeles Polytechnic High School,N,N/A,
"Yamashita, Karen Tei",26,1951,F,Japanese,Asian,United States,Native,3,N/A,United States,CA,"Los Angeles, Tokyo, Sao Paolo, Santa Cruz",Undergraduate,Bachelor's,N,Carleton College,Y,N/A,"National Magazine Award, USA Fellowship"
"Yamauchi, Wakako",5,1924,F,Japanese,Asian,United States,Native,2,N/A,United States,CA,"Los Angeles, Tokyo, Sao Paolo, Santa Cruz",,,N,N/A,N,N/A,
"Yan, Geling",1,1958,F,Chinese,Asian,China,Foreign,,,China,,,Graduate,Master's,Y,Columbia College,N,N/A,
"Yang, Andrew",1,1975,M,Chinese (from Taiwan),Asian,United States,Native,2,N/A,United States,NY,New York City,Graduate,JD,N,Columbia University,N,Hamline University,"Guggenheim Fellowship, National Endowment for the Arts Fellowship"
"Yang, Gene Luen",13,1973,M,Chinese (from Taiwan),Asian,United States,Native,2,N/A,,,,Graduate,Master's,N,California State University East Bay,Y,N/A,
"Yang, Jeff",3,1968,M,Chinese (from Taiwan),Asian,United States,Native,2,N/A,United States,"CA, NY","Los Angeles, New York City",Undergraduate,Bachelor's,N,Harvard University,N,N/A,
"Yang, Kelly",1,1984,F,Chinese (from Hong Kong),Asian,Hong Kong (British territory),Foreign,1.5,,"Hong Kong (British territory), United States",CA,"San Francisco, Hong Kong",Graduate,JD,N,Harvard University,N,Dickinson College,
"Yang, Rae",1,1950,F,Chinese,Asian,China,Foreign,1,1981,"China, Switzerland",,,Graduate,PhD,N,University of Massachusetts,Y,,
"Yang, Wesley",1,,M,Korean,Asian,United States,Native,2,N/A,United States,"NY, NJ",New York City,,,,Rutgers University,,N/A,
"Yashima, Taro",1,1908,M,Japanese,Asian,Japan,Foreign,1,1939,"Japan, United States","NY, CA",New York City,,,N,Japan Art Academy,N,N/A,
"Yasui, Lise",2,1956,F,Japanese,Asian,United States,Native,3,N/A,,,,Graduate,Master's,Y,Temple University,N,Rutgers University,
"Yau, John",7,1950,M,Chinese,Asian,United States,Native,2,N/A,United States,"MA, NY","Boston, New York City",Graduate,Master's,Y,Brooklyn College,Y,N/A,
"Yee, Lauren",1,1986,F,Chinese,Asian,United States,Native,,N/A,United States,"CA, NY","San Francisco, New York City",Graduate,Master's,Y,University of California San Diego,N,,"Kinema Junpo Award, Purple Ribbon Medal, Mainichi Director's Prize"
"Yee, Lisa",4,,F,Chinese,Asian,,,,,,,,Undergraduate,Bachelor's,,,,N/A,
"Yee, Paul",3,1956,M,Chinese,Asian,Canada,N/A,N/A,N/A,Canada,,,Graduate,Master's,N,University of British Columbia,N,N/A,
"Yep, Laurence",3,1948,M,Chinese,Asian,United States,Native,3,N/A,United States,CA,,Graduate,PhD,N,State University of New York Buffalo,N,N/A,
"Yew, Chay",6,1971,M,Chinese (from Singapore),Asian,Singapore,Foreign,,,"Singapore, United States","CA, MA, IL","Boston, Chicago",Graduate,Master's,Y,Boston University,N,N/A,"Peabody Award, Salute to Champions Award Japanese American Citizens League, Public Image Award Asian Americans Advancing Justice, and more"
"Ying, Hong",1,1962,F,Chinese,Asian,China,N/A,N/A,N/A,"China, England",,"London, Beijing",Some Undergraduate,,N,Fudan University,N,,
"Yoon, Cindy",1,,,,,,,,,,,,,,,,,Harvard University,
"Yoon, Paul",1,1980,M,,,United States,Native,,N/A,United States,NY,New York City,Undergraduate,Bachelor's,N,Wesleyan University,Y,N/A,
"Yoshimura, Kozaburo",1,1911,M,Japanese,Asian,Japan,N/A,N/A,N/A,Japan,N/A,,High School,High School Diploma,N,Nihon High School,N,N/A,
"Yu, Charles",2,1976,M,Chinese (from Taiwan),Asian,United States,Native,,N/A,United States,CA,,Graduate,JD,N,Columbia University,N,State University of New York Albany,National Book Award
"Yu, Lihua",1,1931,F,Chinese (from Taiwan),Asian,China,Foreign,1,,"Taiwan, United States","CA, NY",,Graduate,,N,University of California Los Angeles,Y,N/A,
"Yu, Michelle",2,,F,,Asian,,,,,United States,,,Undergraduate,Bachelor's,N,Manhattan College,N,,
"Yu, Phil",1,,M,Korean,Asian,United States,Native,2,N/A,United States,CA,Los Angeles,Graduate,Master's,N,University of Southern California,,,
"Yu, Timothy",1,,M,Chinese,Asian,,,,,,,,Graduate,PhD,,,,N/A,
"Zabusky, Charlotte",1,1932,F,Jewish,Jewish,United States,Native,2,N/A,United States,"MA, CA, NJ, PA",Pittsburgh,Graduate,Master's,N,Fairleigh Dickinson University,N,N/A,
"Zangwill, Israel",1,1864,M,Jewish,Jewish,England,N/A,N/A,N/A,England,,London,Undergraduate,Bachelor's,N,University of London,N,,
"Zhang, Song Nan",1,1942,M,Chinese,Asian,China,N/A,N/A,N/A,"China, Canada",,,Graduate,Master's,,Central Institute of Fine Arts,,,
"Zi, Ouyang",1,1939,F,Chinese,Asian,Japan,Foreign,,,,,,Graduate,Master's,,,,N/A,
"Zia, Helen",1,1952,F,Chinese,Asian,United States,Native,2,N/A,United States,"CA, MI",Detroit,Undergraduate,Bachelor's,N,Princeton University,N,N/A,
Zitkála-Šá,1,1876,F,Sioux,Native American,United States,Native,N/A,N/A,United States,"SD, IN, UT, DC",Washington DC,Some Undergraduate,,N,,N,,
